"state","long","lat","group"
"Arunachal Pradesh",95.9095115088788,27.43548561155,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8999147797491,27.4221133661938,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8845288595675,27.433842724146,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8565095623378,27.419204239077,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8421774719857,27.4268951655415,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8567786805289,27.446868985053,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8532264194003,27.4570031031075,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8706011081113,27.4667465875572,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8791114614488,27.4967980203892,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8757085344564,27.5465828284486,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8616016625258,27.5435380304994,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8418229329942,27.5614582294455,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8304142597156,27.5631598136659,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8118099678235,27.5818309607115,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8181891202517,27.5964362575218,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.7924431050698,27.5980333232592,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.7901818577518,27.6448129505406,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.7703447520997,27.6580321587929,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.7750479689063,27.6744145754893,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.7678091835485,27.7025648045817,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.7540608427225,27.7257975040617,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.7786874932799,27.7332748398803,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.7759158699299,27.7537179786539,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8002625677155,27.7737892085938,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8165616101121,27.8027822600235,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8380631996625,27.8105547575927,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8376731870987,27.8242125344157,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8703209936428,27.8327630785836,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.888367835087,27.8566669995329,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.9042997495017,27.8618938118514,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.9484662666584,27.9244851793017,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.9489840061809,27.9382689254112,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.9702575754644,27.9628818338971,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.8237980957828,27.9715692740728,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.6051971901679,27.9547100901086,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.5846386627825,27.936663770169,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.5741426643579,27.9395591251355,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.5636837232353,27.919722883373,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.542581384523,27.9081839364243,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.5221906327883,27.8830537861962,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.3794959987507,27.8392741278813,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.3086806164324,27.8681060732496,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",95.033271455094,27.7839905442683,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.8522676815731,27.7276994805411,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.847754765673,27.7056616064207,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.8293766291452,27.6949542009168,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.7968984721375,27.6957250141834,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.7690841192516,27.6796165140264,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.7542288132471,27.6606446072941,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.7209338064735,27.6674323692144,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.7166997752482,27.6583355204289,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.6838978672088,27.6606814323228,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.6860928323335,27.6494995813375,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.6462115566615,27.6378421349427,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.6331120869315,27.6242569178718,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.5867423697938,27.6182464771561,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.5710012287994,27.602630942901,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.5445086920569,27.6011315597772,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.4988816624702,27.572264965522,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.4783598402473,27.5762646596964,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.4616545688995,27.5553390735686,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.4512533328559,27.5718565364541,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.4183792631496,27.5976134593273,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.4015361614912,27.5850732193818,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.392309995501,27.589120495367,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.3698090355869,27.5748505193286,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.350600734464,27.5772112326385,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.3327561253498,27.5870483601704,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.3084086523181,27.5912897452609,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.3017406636782,27.6011184156665,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.2764181358809,27.590419903529,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.2723999419706,27.603037191564,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.2563289458921,27.6106055585286,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.2616316057928,27.6359693342432,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.2369754518665,27.6324559054327,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.2223053658972,27.6111091590828,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.2238501483856,27.5765541119031,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.2466404915853,27.5695632407148,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.2586243112246,27.5555548785593,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.256720725442,27.5401796167264,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.2681790360299,27.5209378487064,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.2207473404448,27.5053763752121,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.1644688904146,27.4768803737495,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.1593483863955,27.4617144693023,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.1177816763161,27.4297826364697,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.1048591953583,27.4140703930726,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.0895213045017,27.407145503096,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.0680340278087,27.3717337312039,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",94.0404771392698,27.3515989451721,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.9911782513492,27.3284435767807,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.9262680801967,27.2626040639028,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.8993277350817,27.2391836410801,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.8661830110652,27.2000134012389,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.8371997065512,27.1716752145288,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.825268988125,27.1685759544973,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.8052673623169,27.1481622786241,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.8265180955276,27.1121570743897,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.8355921102648,27.0743948221616,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.7893393483872,27.0506928480423,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.7682721355991,27.0515540429112,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.7675064619566,27.0403217783643,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.7149174727483,27.0142809082787,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.6935914166994,26.9890929490751,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.6573578445616,26.9664124898881,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.6273781233446,26.9632529821717,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.586591185966,26.950567581932,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.5595853437853,26.9528095860853,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.5246932069966,26.9486241319469,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.4890245682731,26.9362742777194,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.4624127532271,26.9379778777582,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.4486935977664,26.9508792214538,"Arunachal Pradesh_poly_1"
"Arunachal Pradesh",93.3804158680909,26.9593178729689,"Arunachal Pradesh_poly_1"
